dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,cyan-252,0,252,252,8.715675,12.74464,16.863665
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,cyan-255,0,255,255,8.925466,13.0878,17.355424
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,magenta-128,128,0,128,2.135422,1.04529,3.505642
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,magenta-224,224,0,224,7.257055,3.532966,11.851612
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,magenta-240,240,0,240,8.512575,4.135774,13.898414
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,magenta-248,248,0,248,9.173547,4.454498,14.913145
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,magenta-252,252,0,252,9.485069,4.602745,15.524012
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,magenta-255,255,0,255,9.785041,4.748773,16.007167
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,yellow-128,128,128,0,2.786206,3.401142,0.524788
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,yellow-224,224,224,0,9.477294,11.532188,1.829
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,yellow-240,240,240,0,11.013671,13.369443,2.1188
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,yellow-248,248,248,0,11.838141,14.415151,2.292041
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,yellow-252,252,252,0,12.299912,14.973388,2.354831
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,yellow-255,255,255,0,12.663507,15.402658,2.415924
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-mix,192,64,64,4.019564,2.492768,1.048139
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-mix,64,192,64,3.700036,6.666279,1.858506
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-mix,64,64,192,2.19977,1.371864,8.4481
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,skin-light,194,150,130,6.129014,5.833276,4.299732
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,skin-dark,115,82,68,1.772198,1.617912,1.089996
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,white-end,255,255,255,15.607561,16.51179,17.808953
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,white-start,255,255,255,35.500371,37.55127,40.478191
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-030-raw-077,gamma22,77,gray-4,4,4,4,0.0,0.0,0.0
